group,ciphertext_hex,t_median_us,t_mean_us,t_stdev_us
16,0x6122e9d0b9d11de7e3615186db4419e6e74ab932d812c5a066befb9adc433aa0c6d3028bf150cacbc7095caed60dbeae6e640824461d687ffdcfe0876f08d2bdefebc6c368c5b75ad56d719c547c4a6590916928bb8d979e62e0b9c1b1e628f2cf81cac323f9e6234697fbff2cac4d59280bbdcc9b28b6e346c22113f673b71,17508.905,17499.5048,604.032855507844
17,0x985df9877208f4d46b648a78618c88a595ab1637db40138842ff1518c5c1c0d8da059922a7a7fb4eca409929d6eba9f3a65dff2f887b2a73032cd92655e308ca0844429610a8d4eafa3eb578db43a30c9f3b25e3f68071978bdbcf836b51773ae5f24014575ef2297cbeadfda3f97dad68682d121bcf987a136edde367d6ccab,17533.105,17548.6484,596.1199666421518
18,0xa4b3fc18ec7229389f7b51653c676c3c0c7e4a2a76286d09fa9f9da620866be9651120a38a0162df2de2bc794fd7d0eada92990a90e16407bf6a4205587c6054de03d8d0d6e522ff99274774c04b3d55271fa421fa1434cea844467ab8acab0f6caaf54ed5103eed191ed928ff4e9c75e23e3f9d29d41213dc652c0c9816e299,16641.824999999997,16849.0244,569.6389469555606
19,0x7713bf68f6f4c37035a70c434f5e460462f3d67fb7586da702d443cd711a4a21a2f6ffc08164d10f38d8cb619b754c9c99a20f5aa0258b2b9218a08edd471b1c4b5417aa43ba620cb84047d48a94c64d2a8c5be71f2d610b2a1411b829033d36b6bd00e5599e2f5790f00278d3ddaa234d3a1015ce16f9a32a72fc9c01104ec4,16871.165,17057.5104,669.5605862174383
20,0xc372aa8300d9b5ef9e47f362b21673ec855b723db12d1c8ba918d4bcd6f1df880c65d83202ed270adfdfaa2c5610f5af7e23e638aaeb0d7133633c0f475b3c2c83270435036c3bea025438f0542f89419d8c3f42d66379c1ae49e1fb040249ba001873866d108402f1184b9cb724447ee8475c925ee504bf1da3d905fa783f31,16947.114999999998,17134.2504,649.3145266662682
21,0x94ee6895279665d1d51002ff953a747d9b308fd8d96f1013ad77250bf9808bdcdc96d485a88d9e3507e13b779887cf1bdda03ffb65483a2033c9897f295a2c7c560838c16bd7e2c7174cd8513867b54a2790da4cbe13c080a6fa0db0de83dd6c32506e4015ad3d9bb98594a2613f82044386c7c167743b13d49c149f667cb05b,16945.58,17034.3208,664.9936111928896
22,0x6a1db73c451d2174489869f2d826aa09998df17e42638dfd711fdafedb8b9d91e13d65d9fa4266d159ed60efbb19e07972a00c1c5298fd02078155f751abce74cc04cd39ecb73d83e83c84e5ef269438c791ebc5f908805934875aa565739e1cc6344b88123521757a9e23e70dfb91e58bdc29798e2d4b36379b42bcb0e5fd43,17250.795,17223.3956,716.0774429715267
23,0xa85d783e9ddda05be55d6dce11daf170ff34172a2b661c28c38e25141a0a555ac0e0f81975376cbcad91c686e0ef67f777eb74db2ffc393e1d81075f5622d40faa5301bc12e796dc31b60aee0376c6a3acd458d2ff0825be3f8b80da338e5240be086ada5abd6d636e6291a9a0514ba0469a46288a8bf859076a0ff4509562af,16819.870000000003,16982.0912,610.3405354738944
24,0x82069d124637642630fe51ca0f4d0f73af8c113fc26c5f5dcf3aea81a0f7eaea33fb09351ce5e25a099dafb2648af2180b4f64520c1761be541243f9a40533939838fa0058d6be7fb0840d880983eaec8cacf8ba20c957d984d283d9ff93df66ffad1dc99cff24ab9150374848df4e1d7269b9e1d957f22964ca399117a6f5fb,17186.225,17171.6066,668.3001368744735
25,0xd6f932e05d9de3343ebe81d0eaffba2c7788b1feb0e14700e0075247c15194c14f980aea6eae902079042c9f0f62be396d5c50b1692a47252a7a0231a866b59f17854c1c4c76842edfabbcd3a50d4885c77baeb35aee28fcc686ed32beb465c80c01305001cc2907112e8eaab01f729efe784ce537a3ed40304d15de09b21e8,16865.515,16966.5584,578.8515840329368
26,0x9b543e89a197b49ed1fda331c510d675adad72a2eb1bfbd565b587977da01a51762ce29db371af021b59fd169eb0b0876fe6509f68e2a427689c765f37eaacc339fea13984a5688e1f228c4274ab9b1223fe11dc7f349f8432c33acf4b34f4f5ce7b9738b728d2a2227fba014f0d8e208db3fd64289bc4d1b33e8da55507095e,16993.28,16995.0454,582.716277405085
27,0x164bdf112858795439a993ac7d48e00e4d7d6904e9f7d8b269ffcad0afae122822795bf599f0daafd2622d5ba39a7d1f2f612f728be4025c799ae0e7a2996459a91e5e54d3ce8a0840cda2b4a17bddac0a2fefd2047ca60eec0bb2509aaae96e3d02d51b0ce6e42523a5d9ea541a90eb7ed68767fc111e7d7e78cf5a88bf7756,16970.184999999998,17013.8046,653.1308420897299
28,0x3b6921b105a60dd12e88379a86429e5a0745835a38558f02c17b63ba3b539bef192bc3d18bead37fd442aefd3c80ecc8fb71e838c125bd9e15830649b48f2881e5e1723a90286521e7aed1ee3779bbc15051334c505d5761fb37c5e26b12d3bdc213fe2e8b079d8687c0066c9b9f5d86c3139815cd7c9a9ceec345f7ae7dea9c,17202.285,17318.3752,733.3764257684859
29,0xb07c634ecc84c373622754d8aded47376f0a15f32c1290346fd0b41e17f97f85eaa35a678a4b722abd5413e36d55886b406ae2ecba99a5f958d1d98fe775f3e3f7f303dfe6b2876bea9083d82cba90c5816838f969fb575f4215004c6930946bc7092891a1a0122ed78a89b97bd64f1a099c5a0bfa71f623571a198fb590e4b2,17455.72,17474.1484,920.6687160914289
30,0x4a610db3b31fc3bb099980cb613ad2c9377ceb746168a7708d30f3da29852b629281dc95481b845893f5e4e1db88d5c02201d6b818f24a595121872a80332a6dce48a1e7acc6f27750d1d5dd2faf29127e55236a668ccb886a9fa1d979bb6ff99ba40a17ebf92553598fef5971e943b589c2fc02ac577e5f87df36102bbd9adf,16432.855,16481.6156,635.2650353550397
31,0x2d79bb14ea74b0e82c56b441fb4700a02dd344f45ee74d1b907a1002d377378ede6c2742b4229023efcdbff777a6d0fa4260cfee8b2b3d49518741c8a06fca29c4cf58e2e45acb7dbd92e66e90e53b9cbb5bd5cdfa39dfdefdd07e405479d267e20b00bd331b9737f46709c935ccd9bffb8529ab069e0fae3d7d732ce67b8ef7,16699.77,16723.7536,501.5749309276132
32,0x8b05420ac4c99ada85bac47fdf182e4453f460c69edec30676fe304541cdbadc2be93f0026d58642950454a1283ddbde1a9ffbe5e888954af563ad63488ec5952e166642b24dbe40ad11e5fbc731ed9d1cdf28cedd5c63617b76117d5f78c0a622a6525a9cd6b3a1d4135c7e31fb7d6510a90dc3b5605cc95dde07312be2ab0f,16385.815,16424.2636,495.3699675344076
33,0x3680dd81c2619d9b15d8494c5cf244b43d9cb5b042b792a4597e9e5ac78c9490e3e4b5ecfd8d10b17580ad007f80cb380c527c444e5d321c48c09493772bb6dc956a4985ce6159772079b8c265e0fa44c90730895dbf3f070ca4235c163fbd895089916cf6d916e76b96e8afd6c629797ffb5f3aab4d3fb2ea2b9689fcc72fa2,16271.71,16419.089,557.2725601112976
34,0xa07cbb832eede3fe6a2d045c7701872dab48c9e6fefd83ac85ba80f330bf962097f7fb6eeb80bdc3c25100b5edf76ac0eae019e0bec024fb19135254e5afa632712d0535b4bdadedc87aa433d3e9ad011aa817011c3c5536386b89dc2fa048fd91ebcbb6ba6796322daee20e828a65256f7b5e9441d1f4a0e165c6c452ebea55,16827.675000000003,16861.6486,650.3601964881002
35,0xa84a3471b2fd5df1f1b873e678442150aa2ccfcd86f438d03c6a098bcb416eb89b1173c1c6e9d02080472e9ffe37275dba1bcb9b8225be8ea9dd2d6acf8e24d66d51867ce90ccf0befd698099ce0d67e8091a67f9f1c13d20c8e0eaa215fd3e3c5511bfd3bd7d7583bf8aa88940af49575bf580ad7d74cbf3ad1fe3315cafc1f,16193.880000000001,16435.2318,751.8428207483
36,0x1afef30c98cdbaaf665f022c629e380ab4e707d6de5debf2173bd4b5f664f5b81d6feca4b4b27f9dbb8ea9ec745614534d41b563190cf2fe4e62d794c2a327370a20b9a024d218d48eed9fb6928457ca5f7fcd287707c69e3a590d430e6e525429329239f214f409b30f81ebb7de2d7b5c92d73faff4e9fcf3fe55bc280b0459,16621.975,16919.9604,1270.1911399155013
37,0x66c3f713607995dd590e7a4b217847fbdd4e8f480a0be54a9d3fc3b588e04a927bd1064f334bf0b1988a068b6f552c07541fa70212cdfecddb2b32ec3957c48c9fa5e90cbc82799da7ce934693b04628b0f0bcb14f66fa93c422d7d060ad6f06538b383466425ec69653214cf954d80bac8c11d41afe894cbb15d7d56a5ac0db,16284.845000000001,16487.4666,571.4029724235253
38,0x2ce2dc661fa215b2a5cb3d5af38dca11579fc36827bee888fef0d3802327bfe7c3ff2548119afd4eb6602288457c998cf5eb1729fa6570cec18e825707f466d72ccb2749f05f372b3573f7240903de8e39cd111d68717cba6d10f6e79c775b74d4063b7d4e13e8a73c37d3913856b2e43d679db2c27a330438f73ffb08dd20cd,16366.415,16572.7776,634.9930861688497
39,0xc9e2b13bf5dbcf12f2442b94abb56e7ebe1f3eb82431b5048b758e002e5c95f45d6afe4e636769b0f22fd47fdefc9603f4e39096637887f75cc26dee50bf7574e66423d0c804aad7ec7cfd24d940413816f12caac8a973a7727961a2e3e258196b8ce4bc40af9c76f06ef6f1e7b8096af7e5403c4824a7027abe2d37c1c883ae,16429.315000000002,16604.4956,630.7365753820211
